名字,题目,选项1,选项2,选项3,选项4
情书,关于《情书》这本小说，女藤井树和渡边博子是怎么相识的,她们是学生时代的好友,渡边博子给亡夫写信寄到了女藤井树手里,她们喜欢上了同一个人,不指定
神雕侠侣,关于《神雕侠侣》这本小说，杨过最喜欢的师父是谁,小龙女,黄蓉,郭靖,金轮国师
小王子,关于《小王子》这本小说，主人公第一次遇到小王子是在哪里？,一个星球,撒哈拉沙漠,马里亚纳海沟,东非裂谷
冬牧场,关于《冬牧场》这本小说，小说讲述了李娟和什么牧民一家深入冬牧场生活经历,哈萨克,维吾尔,蒙古,汉
射雕英雄传,关于《射雕英雄传》这本小说，小说中教郭靖射箭的师傅是谁,黄药师,欧阳锋,哲别,铁木真
云边有个小卖部,关于《云边有个小卖部》这本小说，王莺莺和刘十三是什么关系,母亲与儿子,奶奶与孙子,姑姑和侄子,外婆与孙子
西游记,关于《西游记》这本小说，小说中孙悟空是唐僧的第几个徒弟,第一个,第二个,第三个,第四个
受戒,关于《受戒》这本小说，小说描绘了明海和小英子之间的什么故事,纯真友谊,朦胧爱情,凄惨经历,上学过程
平凡的世界（全三部）,关于《平凡的世界（全三部）》这本小说，郝红梅和孙少平是什么关系？,恋人,夫妻,前任,兄妹
撒哈拉的故事,关于《撒哈拉的故事》这本小说，娃娃新娘与三毛是什么关系？,邻居的女儿,好友的女儿,同事的女儿,荷西的亲戚
树上的男爵,关于《树上的男爵》这本小说，柯希莫和彼亚哥什么关系？,父子,叔侄,祖孙,兄弟
倾城之恋,关于《倾城之恋》这本小说，白宝络和范柳原是什么关系？,连襟,恋人,夫妻,姐弟
最好的我们,关于《最好的我们》这本小说，小说中耿耿同桌是谁,余淮,余周周,林杨,盛淮南
射雕英雄传,关于《射雕英雄传》这本小说，小说中苦练郭靖而不得的大漠女子是谁,华筝,黄蓉,梅超风,穆念慈
倚天屠龙记,关于《倚天屠龙记》这本小说，张翠山与殷素素的儿子叫什么名字,张无忌,张铁山,张涛,张不然
亮剑,关于《亮剑》这本小说，李云龙与赵刚的关系,政委,上下级,同学,以上都不对
水浒传,关于《水浒传》这本小说，小说中108位好汉中有几位女性,1,2,3,4
西游记,关于《西游记》这本小说，小说中孙悟空第一个师傅是谁,菩提祖师,唐僧,如来,观音
悲惨世界,关于《悲惨世界》这本小说，珂赛特是谁的女儿？,冉阿让,马吕斯,拉马克,芳汀
围城,关于《围城》这本小说，方鸿渐和唐晓芙的孩子叫什么？,方鸿图,方凤仪,方非攻,人物不存在
房思琪的初恋乐园,关于《房思琪的初恋乐园》这本小说，晓奇和房思琪是什么关系？,同为受害者,好闺蜜,好姐妹,同班同学
东方快车谋杀案,关于《东方快车谋杀案》这本小说，赫伯德夫人与被绑架的小女孩是什么关系？,好友,师生,母女,祖孙
悉达多,关于《悉达多》这本小说，悉达多同为贵族的好友叫做什么？,伽摩拉,乔达摩,瓦苏戴瓦,戈文达
哈利波特,关于《哈利波特》这本小说，赫敏和罗恩是什么关系？,恋人,姐弟,母子,仇人
雷雨,关于《雷雨》这本小说，鲁大海和周朴园是什么关系,父子关系,叔侄关系,爷孙关系,兄弟关系
骆驼祥子,关于《骆驼祥子》这本小说，小说中祥子的雇主是谁,刘四爷,曹先生,高妈,老马
云边有个小卖部,关于《云边有个小卖部》这本小说，程霜对刘十三是什么感情,亲情,爱情,不熟,同窗之情
傲慢与偏见,关于《傲慢与偏见》这本小说，达西先生和伊丽莎白之间的关系如何？,伊丽莎白初见时的关系友好,产生不好的印象,产生友好的印象,态度一直不变
百年孤独,关于《百年孤独》这本小说，何塞・阿尔卡蒂奥与乌尔苏拉之间的关系是？,兄妹,夫妻,父女,堂兄妹
百年孤独,关于《百年孤独》这本小说，蕾梅黛丝・摩斯科特与何塞・阿尔卡蒂奥的关系是？,母女,兄妹,祖父女孙,父女
冰与火之歌,关于《冰与火之歌》这本小说，伊里斯二世的子嗣中，唯一幸存的是谁？,伊里斯的妻子,韦赛里斯,丹妮莉丝・坦格利安,詹姆・兰尼斯特
冰与火之歌,关于《冰与火之歌》这本小说，谁是艾林谷的守护者？,艾德・史塔克,劳勃・拜拉席恩,丹妮莉丝・坦格利安,詹姆・兰尼斯特
不能承受的生命之轻,关于《不能承受的生命之轻》这本小说，托马斯和特瑞莎的关系最初是？,兄妹,夫妻,好友,同事
灿烂千阳,关于《灿烂千阳》这本小说，玛黎安与娜娜的关系是什么？,母女关系,姊妹关系,主仆关系,邻居关系
恶意,关于《恶意》这本小说，野野口修与日高邦彦的关系是?,同窗好友,兄弟,儿子和父亲,同事
弗兰肯斯坦,关于《弗兰肯斯坦》这本小说，VictorFrankenstein是哪个人造人的创造者？,弗兰肯的怪物,玛丽・雪莱,维克多弗兰肯斯坦,奥特兰托堡的主人
哈利波特,关于《哈利波特》这本小说，哈利波特的麻瓜阿姨和姨丈对他的态度如何？,友善,不友善,冷漠,支持
哈利波特,关于《哈利波特》这本小说，哈利波特的新黑魔法防御术教师是谁？,威斯莱家的佛地魔追随者,路平教授,桃乐丝・恩不里居,鲁霸・海格
红楼梦,关于《红楼梦》这本小说，贾府中的宝玉与湘云的关系是：,堂兄妹,表兄妹,朋友,同学
教父,关于《教父》这本小说，麦可・柯里昂是哪位人物的儿子？,维托・柯里昂,桑尼,毒贩,警长
教父,关于《教父》这本小说，柯里昂家族的大哥桑尼是谁的兄弟？,维托・柯里昂,麦可・柯里昂,警长,毒贩
解忧杂货店,关于《解忧杂货店》这本小说，敦也和翔太、幸平的关系是？,兄弟,朋友,同学,表亲
金色梦乡,关于《金色梦乡》这本小说，青柳雅春与森田森吾的关系是什么？,邻居,大学同学,亲兄弟,合作伙伴
绝叫,关于《绝叫》这本小说，铃木阳子和她的母亲之间的关系如何？,亲密和理解,冷淡和疏远,恶劣和矛盾,关心但疏远
绝叫,关于《绝叫》这本小说，奥贯绫乃与铃木阳子的关系是什么？,母女,姐妹,朋友,刑警与犯罪嫌疑人
了不起的盖茨比,关于《了不起的盖茨比》这本小说，梅耶・沃尔夫西恩是盖茨比的什么人？,商业合伙人,导师,副手,家族成员
亮剑,关于《亮剑》这本小说，李云龙与楚云飞最初是什么关系？,盟友,敌人,无关系,同学
亮剑,关于《亮剑》这本小说，郑波在小说中是李云龙的什么身份？,兄弟,战友,亲戚,敌人
陆犯焉识,关于《陆犯焉识》这本小说，陆焉识与丹丹的关系是？,父女关系,兄妹,夫妻,叔侄
尼罗河上的惨案,关于《尼罗河上的惨案》这本小说，谁是琳奈・瑞吉威的好友，也是西蒙・道尔的前妻？,杰奎琳・贝尔福,罗莎莉,康莉亚・罗伯森,贝斯奈医生
尼罗河上的惨案,关于《尼罗河上的惨案》这本小说，谁是杰奎琳・贝尔福的前夫？,西蒙・道尔,贝斯奈医生,瑞提先生,吉姆・费松
强风吹拂,关于《强风吹拂》这本小说，阿走和清濑灰二是什么关系？,兄弟,朋友,同学,陌生人
强风吹拂,关于《强风吹拂》这本小说，城太和城次是什么关系？,兄弟,父子,叔侄,同学
倾城之恋,关于《倾城之恋》这本小说，白流苏与徐太太的关系是？,母女关系,亲戚关系,朋友关系,姐妹关系
倾城之恋,关于《倾城之恋》这本小说，范柳原和白流苏的关系在故事的发展中如何变化？,从陌生到相知,从恋人到陌生人,从好友到恋人,从仇人到盟友
情书,关于《情书》这本小说，藤井树与渡边博子之间的关系是：,姐妹,母女,同学,未婚夫和未婚妻
三体,关于《三体》这本小说，叶文洁的丈夫是谁？,杨卫宁,丁仪,魏成,申玉菲
射雕英雄传,关于《射雕英雄传》这本小说，郭靖的生父是谁？,杨铁心,丘处机,郭啸天,完颜洪烈
射雕英雄传,关于《射雕英雄传》这本小说，完颜洪烈是郭靖的什么？？,哥哥,父亲,叔叔,侄子
树上的男爵,关于《树上的男爵》这本小说，柯希莫・皮奥瓦斯科・迪・隆多和彼亚哥・皮奥瓦斯科・迪・隆多的关系是什么？,父子,兄弟,朋友,叔侄
树上的男爵,关于《树上的男爵》这本小说，薇莪拉与柯希莫・皮奥瓦斯科・迪・隆多的关系是什么？,兄妹,母女,夫妻,邻居
水浒传,关于《水浒传》这本小说，晁盖和宋江在梁山泊的关系可以描述为？,兄弟情深,师徒关系,竞争关系,恩怨交织
水浒传,关于《水浒传》这本小说，林冲和晁盖的关系可以描述为？,师徒情谊,兄弟情义,敌对对抗,同盟合作
苏菲的世界,关于《苏菲的世界》这本小说，苏菲与亚伯特之间的关系是：,父女关系,学生和老师关系,兄妹关系,邻居关系
苏菲的世界,关于《苏菲的世界》这本小说，苏菲与席妲的关系是：,姐妹关系,朋友关系,同学关系,席妲是虚构的
围城,关于《围城》这本小说，方鸿渐的妻子是谁？,鲍小姐,孙柔嘉,孙柔嘉,赵辛楣
围城,关于《围城》这本小说，方鸿渐在船上与哪位留学生相识并热恋？,鲍小姐,孙柔嘉,赵辛楣,苏文纨
天龙八部,关于《天龙八部》这本小说，慕容复与段誉的关系是？,师兄弟,徒弟,师父,同门
西线无战事,关于《西线无战事》这本小说，保罗・博伊默尔与战友卡特的关系如何？,兄弟关系,战友关系,师生关系,竞技对手关系
西线无战事,关于《西线无战事》这本小说，保罗・博伊默尔与教师坎拖雷克的关系是？,兄弟关系,学生和老师关系,敌对关系,战友关系
西游记,关于《西游记》这本小说，悉达多和乔文达是什么关系？,兄弟关系,师徒关系,同窗好友,堂兄弟关系
嫌疑人X的献身,关于《嫌疑人X的献身》这本小说，花冈靖子与美里的关系？,姐妹关系,母女关系,好友关系,同事关系
香水,关于《香水》这本小说，格勒努耶与加拉尔夫人的关系是什么？,父子关系,朋友关系,密友关系,养母关系
香水,关于《香水》这本小说，格勒努耶与朱塞佩・巴尔迪尼的关系是什么？,师徒关系,兄弟关系,父子关系,合伙关系
象棋的故事,关于《象棋的故事》这本小说，在故事中，“我”和B博士的关系可以描述为？,朋友关系,师徒关系,敌对关系,亲属关系
小王子,关于《小王子》这本小说，小王子和飞行员的关系是什么？,父子关系,师徒关系,友谊关系,兄弟关系
小王子,关于《小王子》这本小说，小王子与以下哪位角色没有建立深厚的友谊？,地理学家,国王,玫瑰园的玫瑰,被他驯服的狐狸
肖申克的救赎,关于《肖申克的救赎》这本小说，安迪和瑞德的关系是什么？,好友,兄弟,狱友,老师和学生
笑傲江湖,关于《笑傲江湖》这本小说，令狐冲的恩师是谁？,岳不群,林平之,任我行,冲虚道长
笑傲江湖,关于《笑傲江湖》这本小说，令狐冲和任盈盈之间的关系是？,恩师与弟子,兄妹,夫妻,同盟
许三观卖血记,关于《许三观卖血记》这本小说，许三观的儿子的真正身份？,许三观和许玉兰的亲生儿子,许玉兰前未婚夫的孩子,许玉兰和许三观共同抚养的孩子,许三观的堂弟
许三观卖血记,关于《许三观卖血记》这本小说，许三观娶的妻子名字是什么？,许玉兰,许芳华,许静,许梅
雪山飞狐,关于《雪山飞狐》这本小说，胡斐的父亲是谁？,胡一刀,苗人凤,田归农,李自成
雪山飞狐,关于《雪山飞狐》这本小说，谁是金面佛苗人凤的朋友？,杜希孟,宝树,平阿四,胡一刀
一个陌生女人的来信,关于《一个陌生女人的来信》这本小说，亚尔和维也纳女子的关系是什么？,朋友,母女,恋人,同事
一句顶一万句,关于《一句顶一万句》这本小说，吴摩西与吴香香的关系可以被描述为？,兄妹关系,夫妻关系,父女关系,亲戚关系
倚天屠龙记,关于《倚天屠龙记》这本小说，潇湘子和尹克西之间的关系如何描述？,兄弟,同盗书伙伴,师徒,死对头
倚天屠龙记,关于《倚天屠龙记》这本小说，张无忌的父母是谁？,郭靖和黄蓉,张翠山和殷素素,朱元璋和徐达,常遇春和周芷若
月亮与六便士,关于《月亮与六便士》这本小说，谁是思特里克兰德的妻子？,一个土著姑娘,位于伦敦的富裕女性,画家戴尔克・施特略夫,漂亮但爱慕虚荣的女性
云边有个小卖部,关于《云边有个小卖部》这本小说，刘十三与程霜的关系最初是什么？,情侣关系,朋友关系,兄妹关系,合作关系
长日将尽,关于《长日将尽》这本小说，史蒂文斯与肯顿小姐的关系是什么？,兄妹关系,情侣关系,同事关系,竞争关系
长日将尽,关于《长日将尽》这本小说，史蒂文斯对肯顿小姐的感情如何？,压抑和忽视,热烈追求,公开表白,冷漠无情
追风筝的人,关于《追风筝的人》这本小说，阿米尔和哈桑是什么关系？,他们是亲兄弟,他们是同学,哈桑是阿米尔的仆人的儿子,阿米尔是哈桑的兄弟
追风筝的人,关于《追风筝的人》这本小说，拉辛汗在阿米尔的生活中扮演什么角色？,爸爸的挚友,阿米尔的老师,敌人,妻子
最好的我们,关于《最好的我们》这本小说，耿耿和余淮的关系是？,兄妹,情侣,同桌,亲戚
最好的我们,关于《最好的我们》这本小说，蒋年年与耿耿的关系是？,同桌,亲戚,闺蜜,兄弟姐妹
最好的我们,关于《最好的我们》这本小说，路星河对耿耿的态度是？,追求猛烈,冷漠疏远,鼓励支持,无所作为
我的天才女友,关于《我的天才女友》这本小说，谁是莉拉的兄长？,埃莱娜,里诺,阿奇勒,尼诺
受戒,关于《受戒》这本小说，荸荠庵中的舅舅是谁？,大英子,小英子,仁山,明海的父亲
梦里花落知多少,关于《梦里花落知多少》这本小说，林岚的好友是谁？,闻婧,白松,姚姗姗,火柴
骆驼祥子,关于《骆驼祥子》这本小说，祥子的婚姻关系中，与哪位女性发生了畸形婚姻？,小福子,虎妞,农村姑娘,隔壁老王的女儿
鹿鼎记,关于《鹿鼎记》这本小说，主人公韦小宝的母亲是谁？,阿珂,阿珠,韦春花,小桂子
鹿鼎记,关于《鹿鼎记》这本小说，在故事中，韦小宝的红颜知己是谁？,阿珂,阿宝,阿二,双儿
雷雨,关于《雷雨》这本小说，剧中人物周朴园与侍萍的关系是：,兄妹关系,夫妻关系,父女关系,叔侄关系
雷雨,关于《雷雨》这本小说，剧中周朴园与周冲的关系是：,父子关系,兄弟关系,叔侄关系,无关系
海的女儿,关于《海的女儿》这本小说，小人鱼对王子产生了什么感情？,恐惧和不安,厌恶和憎恨,吸引和倾慕,冷漠和疏远
房思琪的初恋乐园,关于《房思琪的初恋乐园》这本小说，房思琪和怡婷的关系可以描述为？,母女关系,邻居关系,同学关系,好友关系
房思琪的初恋乐园,关于《房思琪的初恋乐园》这本小说，怡婷对思琪的感情主要体现为？,嫉妒和敌意,爱慕和疼爱,同情和理解,冷漠和疏远
房思琪的初恋乐园,关于《房思琪的初恋乐园》这本小说，思琪最初对李国华的印象是怎样的？,令人生畏且不可接近,知识渊博且严肃认真,友善和慈爱的人格,表面和善实则狡诈
窗边的小豆豆,关于《窗边的小豆豆》这本小说，小豆豆与小林校长的关系是？,同学,校长与学生,姐弟,朋友
草房子,关于《草房子》这本小说，桑桑与哪些孩子一起度过了他六年的小学生活？,秃鹤、杜小康、蒋一轮,秃鹤、杜小康、细马,杜小康、细马、纸月,秃鹤、细马、纸月
草房子,关于《草房子》这本小说，哪位老师对桑桑产生了深刻影响？,蒋一轮,杜小康,白雀,秃鹤
边城,关于《边城》这本小说，主人公翠翠的爷爷是谁？,顺顺,天保,老船夫,杨马兵
白鹿原,关于《白鹿原》这本小说，鹿三与田小娥的关系可以被描述为？,夫妻关系,兄妹关系,主仆关系,情人关系
白鹿原,关于《白鹿原》这本小说，白嘉轩与白灵的关系可以被描述为？,父女关系,姐弟关系,夫妻关系,兄妹关系
霸王别姬,关于《霸王别姬》这本小说，蝶衣与小石头的关系是？,兄弟关系,师兄弟关系,父子关系,朋友关系
霸王别姬,关于《霸王别姬》这本小说，菊仙与小楼的关系是？,兄弟关系,夫妻关系,姐弟关系,同事关系
霸王别姬,关于《霸王别姬》这本小说，段小楼对蝶衣的感情是？,委屈和失望,愧疚和内疚,爱慕和依恋,冷漠和疏远
2001：太空漫游,关于《2001：太空漫游》这本小说，HAL9000的创造者是谁？,钱德拉博士,大卫・鲍曼,弗兰克・波尔,亨德里克・史密斯
2001：太空漫游,关于《2001：太空漫游》这本小说，卫星号飞船船长大卫・鲍曼和谁不在人工冬眠？,弗兰克・波尔,法兰克・普尔,弗兰西娜・奇内利,亚历克斯・卡特
水浒传,关于《水浒传》这本小说，宋江别称是什么,及时雨,豹子头,黑旋风,母夜叉
受戒,关于《受戒》这本小说，小说中明海是什么身份,和尚,道士,尼姑,神仙
金色梦乡,关于《金色梦乡》这本小说，小说中青柳雅春一开始是什么职务,快递员,清洁工,收银员,律师
故事,关于《故事》这本小说，《故事》集结了罗伯特麦基多少年的授课经验,10年,20年,30年,40年
霸王别姬,关于《霸王别姬》这本小说，程蝶衣的昵称是什么？,小石头,小豆子,小黑米,小红豆
强风吹拂,关于《强风吹拂》这本小说，小说中长跑队队长是谁,清濑灰二,城太郎,藏原走,杉山高志
无人生还,关于《无人生还》这本小说，谁是凶手？,女教师,退休法官,将军,医生
尼罗河上的惨案,关于《尼罗河上的惨案》这本小说，凶手是谁？,杰奎琳,林内特,西蒙,杰奎琳和西蒙
骆驼祥子,关于《骆驼祥子》这本小说，祥子在小说中是什么身份,银行家,人力车夫,教师,学生
天龙八部,关于《天龙八部》这本小说，小说中镇南王之子是谁,段誉,鸠摩智,乔峰,阿朱
雪山飞狐,关于《雪山飞狐》这本小说，小说中胡一刀的儿子叫什么名字,胡斐,胡歌,胡日天,胡思
笑傲江湖,关于《笑傲江湖》这本小说，小说中华山派大弟子是谁,张无忌,令狐冲,欧阳锋,杨康
神雕侠侣,关于《神雕侠侣》这本小说，杨过为什么是独臂,为了救郭襄而丧失,被郭芙砍断的,和金轮国师打斗时被斩断,为了解毒而自己斩断
小王子,关于《小王子》这本小说，小王子拜访的第二个星球住着？,漂亮的人,酒鬼,扳道工,虚荣的人
水浒传,关于《水浒传》这本小说，小说中林冲的称号是,豹子头,及时雨,浪里白条,智多星
教父,关于《教父》这本小说，麦可是什么家族的人,柯里昂家族人,密西西比家族人,贫民窟家族人,斯蒂芬家族人
梦里花落知多少,关于《梦里花落知多少》这本小说，小说主人公是什么身份,即将走出校门的大学生,刚刚毕业的大学生,刚上大学的大学生,大学毕业多年的职场人员
少年凯歌,关于《少年凯歌》这本小说，小说主要是陈凯歌在什么时候的回忆,文革,改革开放,第二次工业革命,鸦片战争
遥远的向日葵地,关于《遥远的向日葵地》这本小说，书中刻画了作者母亲和人民的什么品格,坚韧辛劳,乐于助人,勤奋好学,斤斤计较
我的天才女友,关于《我的天才女友》这本小说，两个女主人公一起成长在哪个地方的一个社区,那不勒斯,格林,塞纳,西伯利亚
冰与火之歌,关于《冰与火之歌》这本小说，史塔克家族的族徽是什么？,狮子,鹰,冰原狼,火龙
杀死一只知更鸟,关于《杀死一只知更鸟》这本小说，知更鸟隐喻了什么？,深厚的情谊,纯粹的爱,善良的人,不灭的希望
德米安,关于《德米安》这本小说，小说中埃米尔辛克莱在谁的影响下才走向成熟,威廉斯通纳,哥白尼,德米安,史密斯
不能承受的生命之轻,关于《不能承受的生命之轻》这本小说，小说主人公托马斯是什么职业,外科医生,律师,教师,商人
强风吹拂,关于《强风吹拂》这本小说，小时候被大人称为神童的是谁,城太郎,杉山高志,清濑灰二,藏原走
哈利波特,关于《哈利波特》这本小说，哈利波特的魔杖是什么制成的？,黑胡桃木,冬青木,黄花梨,樱桃木
三体,关于《三体》这本小说，为什么汪淼能看见倒计时？,他有眼疾,他的幻觉,恐吓人类,相机问题
西线无战事,关于《西线无战事》这本小说，小说使用了第几人称的叙事手法,第一人称,第二人称,第三人称,第四人称
雷雨,关于《雷雨》这本小说，小说中伪善的大资本家是谁,鲁大海,周朴园,鲁四凤,周萍
长安的荔枝,关于《长安的荔枝》这本小说，李善德最终选择离开官场体现他什么性格,贪婪,胆怯,易怒,善良
红楼梦,关于《红楼梦》这本小说，“一双丹凤三角眼，两弯柳叶吊梢眉，身量苗条，体格风骚”说的是谁？,薛宝钗,林黛玉,王熙凤,晴雯
水浒传,关于《水浒传》这本小说，小说中经历风雪山神庙的主角是谁,林冲,鲁智深,宋江,卢俊义
窗边的小豆豆,关于《窗边的小豆豆》这本小说，小说描述的是小豆豆什么时候的故事,工作时,上学时,游泳时,旅游时
梦里花落知多少,关于《梦里花落知多少》这本小说，小说中闻婧是一个什么性格的人,任性,活泼,老实,听话
少年凯歌,关于《少年凯歌》这本小说，小说中能体现出作者的少年时期在当时什么样的情绪,无奈恐惧,乐观上进,开心活泼,满足当下
海的女儿,关于《海的女儿》这本小说，作家讴歌了小人鱼对什么的追求,爱情,灵魂,理想,以上都是
月亮与六便士,关于《月亮与六便士》这本小说，主人公离开家时正处于什么年纪？,20,30,40,50
德米安,关于《德米安》这本小说，小说中德米安的母亲叫什么名字,艾娃夫人,维利亚,鲁西,娜塔莎
球状闪电,关于《球状闪电》这本小说，陈博士长大后爱上了什么学科,物理学,数学,英语,历史
霸王别姬,关于《霸王别姬》这本小说，小说中抽大烟的是谁,程蝶衣,菊仙,陈凯歌,张国荣
强风吹拂,关于《强风吹拂》这本小说，小说中谁不善言辞，容易封闭自己的内心,藏原走,城太郎,清濑灰二,城次郎
2001：太空漫游,关于《2001：太空漫游》这本小说，小说中超级电脑名字是什么,哈尔,贾维斯,迈哈密,科斯特
红楼梦,关于《红楼梦》这本小说，下列《红楼梦》中判词和所判之人物对应错误的一项是,才自清明志自高，生于末世运偏消。清明涕泣江边望，千里东风一梦遥。――贾惜春,凡鸟偏从末世来，都知爱慕此生才。一从二令三人木，哭向金陵事更哀。――王熙凤,桃李春风结子完，到头谁似一盆兰。如冰水好空相妒，枉与他人作笑谈。――李纨,根并荷花一茎香，平生遭际实堪伤。自从两地生孤木，致使香魂返故乡。――香菱
香水,关于《香水》这本小说，对什么的追求导致男主人公如此极端？,气味,触感,美感,声音
恶意,关于《恶意》这本小说，凶手是谁？,日高邦彦,日高初美,野野口修,加贺恭一郎
射雕英雄传,关于《射雕英雄传》这本小说，小说中“东邪西毒”中的“东邪”是谁,欧阳德,黄药师,洪七公,郭靖
雪山飞狐,关于《雪山飞狐》这本小说，苗人凤女儿叫什么名字,苗疆,苗若兰,苗玉兰,苗若水
倚天屠龙记,关于《倚天屠龙记》这本小说，张无忌机缘巧合下练成了乾坤大挪移和什么神功,降龙十八掌,九阴真经,九阳神功,九阴白骨掌
水浒传,关于《水浒传》这本小说，小说中绰号九纹龙的是,柴进,史进,鲁智深,燕青
傲慢与偏见,关于《傲慢与偏见》这本小说，达西先生的性格特点是什么？,善良,傲慢,无情,冷酷
傲慢与偏见,关于《傲慢与偏见》这本小说，伊丽莎白・班奈特的性格特点,天真、幼稚,聪明、独立,懦弱、依赖，,冷漠、不关心他人
百年孤独,关于《百年孤独》这本小说，在小说中，乌尔苏拉・伊瓜兰如何体现母性的特质？,通过自我牺牲,通过冷酷无情,通过领导能力,通过激情表达
百年孤独,关于《百年孤独》这本小说，老波恩地亚的个性特征是什么？,强势、冷酷,狡猾、热情,忍耐、善良,飘忽、浮躁
悲惨世界,关于《悲惨世界》这本小说，谁在故事中展现了最大的善良和慈善？,珂赛特,冉阿让,马吕斯,伽弗洛什
悲惨世界,关于《悲惨世界》这本小说，冉阿让在碉堡中的行为反映了他什么价值观？,坚守正义,追求财富,逃避责任,寻找权力
冰与火之歌,关于《冰与火之歌》这本小说，劳勃・拜拉席恩为何获得“弑君者”的外号？,因其残暴的统治方式,因他杀害了伊里斯二世,因他反叛了伊里斯二世,因他是瓦雷利亚自由堡的国王
不能承受的生命之轻,关于《不能承受的生命之轻》这本小说，哪个角色强调她不是反共，而是反对媚俗？,托马斯,特瑞莎,萨宾娜,弗兰茨
灿烂千阳,关于《灿烂千阳》这本小说，小说中的拉希德是一个什么样的角色,富商而宽厚的丈夫,年轻的情人,严厉的鳏夫,亲切的邻居
德米安,关于《德米安》这本小说，埃米尔・辛克莱在成长过程中表现出的主要情绪是：,狂喜和冷漠,悲愁和孤独,喜悦和满足,平静和安宁
德米安,关于《德米安》这本小说，作者运用的叙述方式强调了主人公的：,外貌和社会地位,意识和情感世界,家庭背景和学业成就,物质生活和财富状况
德米安,关于《德米安》这本小说，故事中的主人公埃米尔・辛克莱在成长过程中受到的主要影响是：,朋友和同龄人,学校和老师,家庭和社会,书籍和学术
东方快车谋杀案,关于《东方快车谋杀案》这本小说，主要角色赫丘勒・白罗是什么身份？,侦探,医生,司机,商人
弗兰肯斯坦,关于《弗兰肯斯坦》这本小说，怪物被描述为什么样的外貌特征？,强壮又高大,带有许多疤痕,脸色红润,眉毛很长
弗兰肯斯坦,关于《弗兰肯斯坦》这本小说，小说中的怪物在面对社会和人类的时候表现出什么特点？,急躁和好战,温和且有善良之心,阴险且狡诈,胆怯和退缩
红楼梦,关于《红楼梦》这本小说，贾府中的哪位人物被认为含有通灵宝玉（补天顽石）,贾母,贾政,宝玉,黛玉
红楼梦,关于《红楼梦》这本小说，谁被形容为“刚烈”的人物？,黛玉,薛虬,尤三姐,薛蟠
红楼梦,关于《红楼梦》这本小说，谁是被描述为“焚烧诗稿”的人物？,黛玉,薛宝钗,贾宝玉,贾宝玉
红楼梦,关于《红楼梦》这本小说，谁是被描述为“焚烧诗稿”的人物？,黛玉,薛宝钗,贾宝玉,袭人
荒原狼,关于《荒原狼》这本小说，哈瑞・黑勒在小说中被描述为哪两种截然不同的人格？,良好教育的知识份子与冲动孤僻的荒原狼,良好教育的知识份子与冲动孤僻的荒原狼,爱与仇恨的黑勒,感性与理性的黑勒
荒原狼,关于《荒原狼》这本小说，赫尔米娜在小说中扮演了什么样的角色,人物阿尼玛,战争的象征,哈瑞的心理医生,他的妻子
活着,关于《活着》这本小说，徐福贵的大女儿徐凤霞在小说中与哪位人物建立了婚姻关系,二喜,有庆,三喜,苦根
活着,关于《活着》这本小说，徐福贵的性格特点主要表现为什么？,乐观豁达,贪婪自私,善良宽厚,英勇坚韧
活着,关于《活着》这本小说，徐福贵的人生轨迹最初是什么样的？,富裕奢华,贫寒潦倒,艰苦奋斗,神秘莫测
叫魂,关于《叫魂》这本小说，乾隆皇帝对妖术事件的处理体现了他怎样的性格特点？,慎重谨慎,轻信谣言,仁慈宽厚,冷酷无情
叫魂,关于《叫魂》这本小说，中国妖术大恐慌中，百姓对妖术的反应如何？,盲目追随,极度恐慌,质疑并寻求解释,警惕但不恐慌
教父,关于《教父》这本小说，麦可・柯里昂的个性特征是什么？,谨慎、冷静、聪明,粗暴、冲动、狡诈,忍让、慷慨、宽容,顽固、短视、狡猾
教父,关于《教父》这本小说，麦可・柯里昂投笔从戎成为哪个组织的成员？,美军,警察局,黑手党,政府特工
解忧杂货店,关于《解忧杂货店》这本小说，月亮兔的身份是？,体育教练,乐队成员,酒家女,运动员
金色梦乡,关于《金色梦乡》这本小说，对于青柳雅春的描写中，哪一项表现了他的勇敢和善良？,救出人气偶像凛香,被骚扰而辞职,被森田告知险情并开始逃亡,喜欢uL泛团头四的音乐
绝叫,关于《绝叫》这本小说，神代武的性格特点如何描述？,仁慈和善良,险恶和邪恶,美好而谦逊,警觉而机智
绝叫,关于《绝叫》这本小说，奥贯绫乃的性格特点是什么？,懦弱和优柔寡断,勇敢和聪明,善良而顽强,虚伪而狡猾
