名字,题目,选项1,选项2,选项3,选项4
斯通纳,关于《斯通纳》这本小说，斯通纳的一生中，他最终如何面对自己的命运？,勇敢反抗,默默接受,放弃一切,试图改变一切
斯通纳,关于《斯通纳》这本小说，《斯通纳》的创作背景中提到的老师对约翰・威廉姆斯的影响主要是什么？,激发了他成为作家的愿望,增强了他对学术的热情,形成了小说的主题和思想基础,使他对农学产生了兴趣
受戒,关于《受戒》这本小说，明海受戒后，小英子送他去哪里？,回家,善因寺,荸荠庵,菩提庵
受戒,关于《受戒》这本小说，故事中的“庵”指的是什么地方？,画室,修行寺庙,小英子家,明海的家
鹿鼎记,关于《鹿鼎记》这本小说，韦小宝曾被困在哪个神秘组织的基地？,天地会,神龙教,少林寺,鹿鼎山
呼兰河传,关于《呼兰河传》这本小说，有二伯在整部小说中扮演的角色有何作用？,构建灰色人物形象,引导主角的成长,提供喜剧元素,反映社会现实
海的女儿,关于《海的女儿》这本小说，小人鱼为了变成人类向海巫婆求助，海巫婆要求她付出什么代价？,舌头和声音,皮肤和鳞片,心脏和内脏,智慧和记忆
海的女儿,关于《海的女儿》这本小说，小人鱼与王子跳舞时，经历了怎样的疼痛？,剧烈的头痛,尖刀割般的脚痛,灼热的身体疼痛,刀割般的胸口疼痛
海的女儿,关于《海的女儿》这本小说，小人鱼的结局是？,与王子共度幸福生活,留在人类世界成为王子的王后,牺牲自己保护王子和新娘,返回海底继续作为鱼儿生活
海的女儿,关于《海的女儿》这本小说，小人鱼的姐姐们为了救她，付出了什么代价？,付出了美丽的声音,付出了财产和珠宝,付出了未来的幸福,付出了舒适的生活
房思琪的初恋乐园,关于《房思琪的初恋乐园》这本小说，思琪在精神病院里的境遇是怎样的？,思琪找到了内心的平静和安宁,思琪受到了医生的虐待和压迫,思琪和怡婷共同制定了逃脱计划,思琪开始展现出超凡的智慧和能力
茶馆,关于《茶馆》这本小说，刘麻子的命运如何展现了社会的动荡和变迁？,她成为了茶馆的新掌柜,她被军阀斩首,她发家致富，成为富豪,她成为了政治人物
茶馆,关于《茶馆》这本小说，康顺子母子的命运如何展现了时代变革对个人生活的影响？,他们成为了抗日英雄,他们在战乱中失散,他们成为了富有的商人,他们成为了政治领袖
草房子,关于《草房子》这本小说，桑桑亲眼目睹了什么事件，使他终身难忘？,一连串感人肺腑的故事,油麻地的建设工程,蒋一轮的教育方法,油麻地的孩子们的友谊
白夜行,关于《白夜行》这本小说，雪穗的心灵在幼年不幸的经历后产生了什么影响？,失去了阳光,增强了信心,增加了勇气,提高了幸福感
白鹿原,关于《白鹿原》这本小说，小说中的高潮冲突点主要集中在？,白嘉轩的婚姻矛盾,黑娃投奔革命军,鹿子霖败家堕落,白孝文的族长之争
霸王别姬,关于《霸王别姬》这本小说，文中的高潮事件是指？,小楼被小四陷害,菊仙的自杀,师兄弟最后一次合演《霸王别姬》,蝶衣自刎
尼罗河上的惨案,关于《尼罗河上的惨案》这本小说，以下哪个选项不属于关键的物证？,项链,手枪,手帕,披肩
孽子,关于《孽子》这本小说，孽子的作者是谁,白岩松,鲁迅,白先勇,吴承恩
灿烂千阳,关于《灿烂千阳》这本小说，小说背景是什么,阿富汗战乱,石油危机,经济危机,美苏争霸
窗边的小豆豆,关于《窗边的小豆豆》这本小说，小说中主人公是谁,小豆豆,图图,哪吒,二郎神
呼兰河传,关于《呼兰河传》这本小说，小说作者是谁,萧红,唐家三少,吴承恩,施耐庵
美丽新世界,关于《美丽新世界》这本小说，小胡故事背景在什么时候,18世纪早期,18世纪中期,18世纪后期,未来2532年
四世同堂,关于《四世同堂》这本小说，小说作者是谁,鲁迅,老舍,冰心,罗大佑
边城,关于《边城》这本小说，《边城》以多少年代为撰写背景？,20世纪30年代,20世纪50年代,20世纪60年代,20世纪40年代
罪与罚,关于《罪与罚》这本小说，小说的主人公是谁,甘道夫,拉斯科尔尼科夫,陀思妥耶夫斯基,托尔斯泰
叫魂,关于《叫魂》这本小说，小说的背景是什么时候,贞观之治,乾隆盛世,康熙年间,明末清初
教父,关于《教父》这本小说，小说讲述了什么家族的故事,西西里牧民家族,西西里黑手党,西西里飞车党,西西里黑帮
绝叫,关于《绝叫》这本小说，小说女主人公是谁,公阳子,真子,麻子,幸子
斯通纳,关于《斯通纳》这本小说，说讲述了谁平凡的一生,威廉斯通纳,威廉詹姆斯,威廉萧伯纳,威廉乔治
梦里花落知多少,关于《梦里花落知多少》这本小说，小说背景在什么地方,大都市,农村,荒漠,小城镇
陆犯焉识,关于《陆犯焉识》这本小说，小说主人公是谁,陆焉识,陆犯,陆识,陆语焉
了不起的盖茨比,关于《了不起的盖茨比》这本小说，该小说发生的地点位于？,纽约,洛杉矶,旧金山,费城
白鹿原,关于《白鹿原》这本小说，该故事发生于什么地方？,东北平原,陕西关中平原,秦岭淮河地带,大西北
茶馆,关于《茶馆》这本小说，小说描述了哪一个茶馆的故事,裕泰大茶馆,宾乐大茶馆,宏客大茶馆,友谊大茶馆
海的女儿,关于《海的女儿》这本小说，《海的女儿》也被翻译为什么名字,《人鱼公主》,《白雪公主》,《沉睡的爱》,《森林之海》
面纱,关于《面纱》这本小说，小说故事发生在什么地方,香港,澳门,深圳,伦敦
阿勒泰的角落,关于《阿勒泰的角落》这本小说，该问分为几个章节,1个,2个,4个,5个
百年孤独,关于《百年孤独》这本小说，百年孤独的故事发生在哪个小镇？,萨伦托,马孔多,瓜达佩,希望小镇
我的天才女友,关于《我的天才女友》这本小说，小说讲述了两个女主人公什么是期的故事,少女时期,婴幼儿时期,成年时期,中年时期
围城,关于《围城》这本小说，该小说的中心思想主要围绕哪一方面？,婚姻,梦想,历史变迁,人性
月亮与六便士,关于《月亮与六便士》这本小说，该书名中的月亮代表什么？,理想与艺术,现实与凡俗,生命与希望,拼搏与奋斗
冰与火之歌,关于《冰与火之歌》这本小说，该书想要传递的主旨是什么,权利与欲望,人性与道德,梦想与现实,金钱与地位
杀死一只知更鸟,关于《杀死一只知更鸟》这本小说，该小说想要传递什么思想？,懂得换位思考,遵循自己的内心,不要失去信念,鞭挞种族歧视
东方快车谋杀案,关于《东方快车谋杀案》这本小说，该案件的凶手是谁？,来自匈牙利的大使夫妇,一板一眼的俄罗斯老贵妇,人人都是凶手,阿巴思诺特上校和德贝纳姆小姐
苏菲的世界,关于《苏菲的世界》这本小说，该小说揭示了什么的发展历程,西方哲学史,西方经济史,东方哲学史,东方经济史
鹿川有许多粪,关于《鹿川有许多粪》这本小说，小说展现了历史变潮中什么人物的形象,底层人物,上流社会人物,中等资本家,商人
德米安,关于《德米安》这本小说，小说的主人公是什么名字,埃米尔辛克莱,苏菲,赫尔曼黑塞,列夫托尔斯泰
草房子,关于《草房子》这本小说，小说主人公是谁,桑桑,小美,乐乐,爱爱
香水,关于《香水》这本小说，该小说的故事发生在什么地方？,伦敦,纽约,巴黎,柏林
鼠疫,关于《鼠疫》这本小说，该故事发生于什么地方？,开罗,奥兰,休达,达尔贝达
树上的男爵,关于《树上的男爵》这本小说，有关该小说对现代社会人们的隐喻，错误的是？,迷失自我,丧失完整性,缺乏斗志,焦虑迷茫
一桩事先张扬的凶杀案,关于《一桩事先张扬的凶杀案》这本小说，该小说想要反映什么？,落后孤独的社会,肮脏不堪的现实,令人堕落的贪欲,令人作呕的虚伪
倾城之恋,关于《倾城之恋》这本小说，该小说想要反讽什么？,动荡的年代,虚伪的政客,金钱的诱惑,丑恶的人性
悉达多,关于《悉达多》这本小说，该书主要讲述了什么教派？,佛教,道教,天主教,犹太教
西线无战事,关于《西线无战事》这本小说，小说历史背景是什么,一战中西面战线,二战中西面展战线,一战中东面战线,二战中东面战线
雷雨,关于《雷雨》这本小说，小说的社会背景是什么,1925年前后中国社会,抗日战争时期中国社会,建国初期中国社会,改革开放时期中国社会
荒原狼,关于《荒原狼》这本小说，小说讲述了个人的什么疾病,精神疾病,癌症,老年痴呆症,侏儒症
最好的我们,关于《最好的我们》这本小说，小说讲述的是什么故事,青春高中校园故事,大学生活故事,社会爱情故事,职场勾心斗角故事
象棋的故事,关于《象棋的故事》这本小说，小说讲述了从纽约开往哪里的轮船上业余国际象棋手的故事,南美,欧洲,亚洲,南非
许三观卖血记,关于《许三观卖血记》这本小说，这本书经过什么历史事件,文化大革命,抗日战争,辛亥革命,洋务运动
活着,关于《活着》这本小说，活着的作者是,余华,冰心,钱钟书,史铁生
弗兰肯斯坦,关于《弗兰肯斯坦》这本小说，本书是基于作者对什么的反思下创作的,科学与人类的关系,外貌与朋友的关系,旅行与孤独的关系,爱情与友情的关系
长安的荔枝,关于《长安的荔枝》这本小说，这本书基于以下哪一诗歌所做,无题,过华清宫绝句,荔枝叹,荔枝香迎送人游南徐
亮剑,关于《亮剑》这本小说，讲述的是什么时代的故事？,抗战,内战,抗日战争与国共内战,以上都不对
孽子,关于《孽子》这本小说，小说的主人公是谁,李青,李逵,李宁,卢俊义
灿烂千阳,关于《灿烂千阳》这本小说，小说描绘的是哪一类人群,妇女,青年,中年,少年
窗边的小豆豆,关于《窗边的小豆豆》这本小说，小说作者是谁,黑柳彻子,春上村树,吴承恩,雨果
呼兰河传,关于《呼兰河传》这本小说，小说以什么时候的生活为线索,童年生活,少年生活,中年生活,老年生活
美丽新世界,关于《美丽新世界》这本小说，小说作者是谁,阿道司赫胥黎,雨果,马克吐温,jk罗琳
四世同堂,关于《四世同堂》这本小说，小说表现了什么故事,新中国早期建设的故事,抗战北平沦陷区普通民众生活与抗战的故事,解放中国时期的抗争故事,改革开放时期的故事
冬牧场,关于《冬牧场》这本小说，小说呈现了少数民族地区什么生活的艰辛,游牧生活,上班生活,旅游生活,爱情生活
叫魂,关于《叫魂》这本小说，作者写小说是为了表达什么主题,揭示封建王朝背后官权和皇权的博弈,揭示封建王朝百姓疾苦,揭示封建王朝下的科技发展,揭示封建王朝下的道德伦理
绝叫,关于《绝叫》这本小说，小说连缀了日本多少年的社会变迁缩影,10年,28年,30年,40年
鹿鼎记,关于《鹿鼎记》这本小说，小说故事背景在什么年代,明末清初,清朝中期,清朝末期,明朝中期
陆犯焉识,关于《陆犯焉识》这本小说，该小说的时代背景是什么？,文化大革命,大跃进,建国初期,抗日战争时期
了不起的盖茨比,关于《了不起的盖茨比》这本小说，该小说传递的主旨是什么？,金钱与人性,拼搏与奋斗,善良与博爱,梦想与现实
茶馆,关于《茶馆》这本小说，小说时间线历经了几个年代,1,2,3,4
故事,关于《故事》这本小说，《故事》主要讲述了什么内容,怎么制作故事,怎么讲述故事,怎么给他人讲故事,怎么改编故事
长日将尽,关于《长日将尽》这本小说，小说叙事背景是什么,两次世界大战之间的英国,第二次世界大战后的英国,两次世界大战之间的美国,第二次世界大战后的美国
阿勒泰的角落,关于《阿勒泰的角落》这本小说，在书中，读者看到了什么样的几乎绝迹的生活方式,赊账,钻木取火,人力耕田,男耕女织
百年孤独,关于《百年孤独》这本小说，该小说想要传递什么样的主旨？,历史兴衰与变迁,孤独与摆脱孤独,权利与欲望,理想与现实的差距
沉默的大多数,关于《沉默的大多数》这本小说，沉默的大多数想要讽刺什么现象？,喧嚣话语圈的虚伪,被抑制发声的少数,人性的弱点,时代背景下的无奈
房思琪的初恋乐园,关于《房思琪的初恋乐园》这本小说，该故事给予了什么启示？,珍惜可贵的生命,人生苦短、活在当下,性教育的重要性,追寻梦想、不惧困难
东方快车谋杀案,关于《东方快车谋杀案》这本小说，该小说探讨了什么间的矛盾？,人情正义与法理,思想道德与法治,个人遭遇与时代,苟延残喘与毁灭
草房子,关于《草房子》这本小说，小说故事发生在什么地方,油麻地,田地,山地,梯地
香水,关于《香水》这本小说，在小说想要传递哪方面的主旨思想？,人性与欲望,金钱与罪恶,理想与现实,人各有不幸
恶意,关于《恶意》这本小说，该故事描述了什么社会现象？,种族歧视,校园暴力,贫富差距,滥用权利
鼠疫,关于《鼠疫》这本小说，该小说讽刺了什么社会现实？,政治家的虚伪,资本家的虚伪,官场的腐败,富人的堕落
一桩事先张扬的凶杀案,关于《一桩事先张扬的凶杀案》这本小说，故事发生什么地方？,墨西哥,圣地亚哥,巴拿马,布宜诺斯艾利斯
悉达多,关于《悉达多》这本小说，该小说想要传递什么主旨？,生命的无常,情爱的真谛,生命的意义,佛陀的伟大
麦琪的礼物,关于《麦琪的礼物》这本小说，小说反应了哪个国家下层人民的艰难,美国,英国,法国,德国
荒原狼,关于《荒原狼》这本小说，小说主人公叫什么名字,哈勒尔,卡修斯,露西亚,巴顿
象棋的故事,关于《象棋的故事》这本小说，小说表达了作者对哪一类人群的痛恨,犹太人,纳粹法西斯,黑人,黄种人
天龙八部,关于《天龙八部》这本小说，小说的背景在哪个时代,宋哲宗时代,宋徽宗时代,明成祖时代,明太宗时代
活着,关于《活着》这本小说，这本书讲了什么故事,福贵的一生,福贵的学习,福贵的父亲,福贵的爱情
孽子,关于《孽子》这本小说，小说反应了哪一类人群的生存状况,同性恋者,家境贫困者,家境一般者,留守儿童
灿烂千阳,关于《灿烂千阳》这本小说，小说作者是谁,卡勒德胡赛尼,雨果,马克吐温,恩格斯
呼兰河传,关于《呼兰河传》这本小说，小说反应的是哪座城市的黑暗,呼兰,河北,墨竹,楼兰
美丽新世界,关于《美丽新世界》这本小说，小说刻画了什么样的世界,物质生活丰富，科学技术高度发达,物质匮乏,物质条件一般，医疗条件良好,物质丰富却科学技术一般
四世同堂,关于《四世同堂》这本小说，小说展示了什么历史进程的道路,大时代历史进程,美好生活历史进程,安定繁荣历史进程,经济快速发展历史进程
冬牧场,关于《冬牧场》这本小说，小说展现了少数民族什么样的精神品质,纯朴坚忍,热情好客,乐于助人,乐善好施
叫魂,关于《叫魂》这本小说，小说的妖术名为,叫魂,还魂,鬼魂,灭魂
鹿鼎记,关于《鹿鼎记》这本小说，小说讽刺的是什么样的人,当官势力之人,道貌岸然伪君子,不学无术浪子,烧杀抢掠之恶人
了不起的盖茨比,关于《了不起的盖茨比》这本小说，该小说的第一人称视角是谁？,黛西,汤姆,盖茨比,尼克
茶馆,关于《茶馆》这本小说，小说刻画了接近多少个人物,20,30,40,50
遥远的向日葵地,关于《遥远的向日葵地》这本小说，小说表达了作者对环境的什么看法,对环境的担忧,对环境的热爱,对环境的憎恨,对环境的享受
长日将尽,关于《长日将尽》这本小说，小说展现了当时英国中哪一阶级社会的生活,底层社会,中上层社会,上层社会,中低级社会
阿勒泰的角落,关于《阿勒泰的角落》这本小说，改文展示了北疆阿泰勒地区什么样的风物人情,纯朴自然,热情好客,科技文明,几斤计较
傲慢与偏见,关于《傲慢与偏见》这本小说，小说意在揭示有关哪方面的真谛？,爱情,人性,欲望,勇敢
平凡的世界（全三部）,关于《平凡的世界（全三部）》这本小说，故事发生于什么年代？,70-80年代,60-70年代,50-60年代,40-50年代
鹿川有许多粪,关于《鹿川有许多粪》这本小说，该小说讲述了50年代朝鲜战争时期和80年代的什么故事,改革开放,经济大萧条,韩国民主化,经济大开发
白夜行,关于《白夜行》这本小说，该小说想要传递什么主旨？,正能量,人性的黑暗,善良永存,金钱与堕落
麦琪的礼物,关于《麦琪的礼物》这本小说，小说赞美了主人公的什么品质,善良心底纯真爱情,乐于助人,拾金不昧,乐善好施
西线无战事,关于《西线无战事》这本小说，小说主人公叫什么名字,爱丽丝,马丁内斯,保罗博伊默尔,维多利亚
2001：太空漫游,关于《2001：太空漫游》这本小说，小说开始的情节发生在哪个时代？,1999年,2001年,三百万年前的古非洲,2001年的太空任务
傲慢与偏见,关于《傲慢与偏见》这本小说，反映了哪个时代的英格兰社会特征？,工业革命时期,文艺复兴时期,摄政时代,维多利亚时代
傲慢与偏见,关于《傲慢与偏见》这本小说，小说中主要探讨了哪个主题？,社会阶层和财富分配,社会阶层和财富分配,科技发展和社会进步,宗教信仰和传统文化
百年孤独,关于《百年孤独》这本小说，《百年孤独》中反映的主题是什么？,《百年孤独》中反映的主题之一是什么？,人性的善良与邪恶,勇敢面对命运,社会等级和阶层的固化
悲惨世界,关于《悲惨世界》这本小说，《悲惨世界》中反映了哪些社会问题？,阶级分化和社会不公,环境污染和气候变化,科技发展和文化交流,教育制度和家庭关系
冰与火之歌,关于《冰与火之歌》这本小说，马丁开始创作《权力的游戏》时最初构想的是几部曲？,一部曲,三部曲,四部曲,六部曲
冰与火之歌,关于《冰与火之歌》这本小说，故事背景的大洲名称是什么？,罗南,瓦斯卡,维斯特洛,泰克罗斯
冰与火之歌,关于《冰与火之歌》这本小说，故事中的瓦雷利亚帝国位于哪个大洲？,维斯特洛,厄斯索斯,洛伊拿河畔,多恩
不能承受的生命之轻,关于《不能承受的生命之轻》这本小说，书中讨论了哪个哲学概念？,永劫回归,天使主义,宿命论,致命主义
不能承受的生命之轻,关于《不能承受的生命之轻》这本小说，书中主要探讨了哪种思想对人生的影响？,主义思想,政治思想,存在主义思想,宗教思想
不能承受的生命之轻,关于《不能承受的生命之轻》这本小说，作者米兰・昆德拉所说的“轻与重”主题探讨了什么？,人生的无足轻重与沉重的境界,政治与自由的对立,人生的追求与放弃,永恒与现实的冲突
不能承受的生命之轻,关于《不能承受的生命之轻》这本小说，书中的背景设定主要发生在哪个城市？,巴黎,布拉格,日内瓦,柏林
灿烂千阳,关于《灿烂千阳》这本小说，小说背景主题主要体现了哪一方面的社会问题？,女性权益和社会地位,政治腐败和权力争斗,教育制度与社会不公平,经济发展与现代化进程
灿烂千阳,关于《灿烂千阳》这本小说，小说中的泥屋象征着什么？,贫困与放弃,希望与挣扎,爱与和平,安逸与富足
德米安,关于《德米安》这本小说，作者赫塞受到了极大的精神打击后，开始进行什么样的转变？,笛卡尔哲学,弗洛伊德心理学,亚里士多德伦理学,孟子儒学
德米安,关于《德米安》这本小说，背景主题主要涵盖了哪些方面？,精神分析和自我探索,政治矛盾和社会变革,科学发展和技术进步,自然环境和生态问题
东方快车谋杀案,关于《东方快车谋杀案》这本小说，是哪位英国推理小说作家的作品,是哪位英国推理小说作家的作品,阿瓦龙・德・沙特,福尔摩斯,马克・吐温
东方快车谋杀案,关于《东方快车谋杀案》这本小说，谋杀案的发生地点是？,温科夫齐,伦敦,伊斯坦堡,波士顿
恶意,关于《恶意》这本小说，整个故事揭示了社会中哪种恶意？,家庭纷争,文学界竞争,邻里关系,隐私侵犯
弗兰肯斯坦,关于《弗兰肯斯坦》这本小说，探讨的主题主要与以下哪方面有关,生命的创造与伦理,政治革命与自由,未知科学与奇幻冒险,爱情与背叛
荒原狼,关于《荒原狼》这本小说，本书中的魔术剧场象征什么？,人生的荒诞与矛盾,艺术的力量与魔幻,心灵的成长与超越,社会的堕落与腐化
荒原狼,关于《荒原狼》这本小说，小说中作者反映的社会背景是什么？,第一次世界大战前的和平时期,二战时期的军事与工业势力控制,工业革命的前夜,艺术复兴时期
荒原狼,关于《荒原狼》这本小说，哈瑞・黑勒对于社会的态度体现了什么主题？,反对军事与工业势力的控制,推崇军事纪律与工业技艺,寻求和平主义的解决方案,迎合社会期望与要求
活着,关于《活着》这本小说，徐福贵一家在社会变革时期经历了哪些重大社会事件？,土地改革和改革开放,反封建运动和三年自然灾害,社会主义建设和文化大革命,科技革命和教育改革
活着,关于《活着》这本小说，主要探讨了哪个主题,社会变革与家庭,人性与命运,希望与绝望,现实与理想
叫魂,关于《叫魂》这本小说，时任统治者是谁？,乾隆皇帝,孔飞力,施法者,陕西境内的官员
叫魂,关于《叫魂》这本小说，通过电视广告,信仰多元化,社会秩序恶化,经济繁荣,科技进步
教父,关于《教父》这本小说，一书涵盖了哪个时间段的故事,1955年至1970年,1940年至1950年,1960年至1975年,1945年至1955年
教父,关于《教父》这本小说，故事背景是在哪个城市,西西里岛,纽约市,芝加哥,洛杉矶
教父,关于《教父》这本小说，启发了哪一年的同名电影,1972年,1969年,1974年,1990年
解忧杂货店,关于《解忧杂货店》这本小说，故事中哪个主题在多个章节中被突出展现？,人生选择,音乐追求,友谊,家庭温暖
金色梦乡,关于《金色梦乡》这本小说，作品中突显的主题是什么？,友谊与背叛,政治权谋与复仇,爱与牺牲,信任与人际关系
金色梦乡,关于《金色梦乡》这本小说，作品的背景设定在何时何地？,现代仙台市,明治时代东京,古代欧洲,未来科幻世界
金色梦乡,关于《金色梦乡》这本小说，作者受到了哪个历史事件的启发来创作这部作品？,世界大战,甘迪遇刺案,冷战时期,法国大革命
金色梦乡,关于《金色梦乡》这本小说，作品中反映了哪种社会制度？,君主制,共产主义,首相公选制,封建制
绝叫,关于《绝叫》这本小说，故事中“KindNet”组织背后的主题是什么？,社会不公正,母性与亲情,经济困境,报复与复仇
了不起的盖茨比,关于《了不起的盖茨比》这本小说，盖茨比对黛西・布卡南的追求体现了哪个主题？,社会巨变,爵士时代,理想主义,堕落
了不起的盖茨比,关于《了不起的盖茨比》这本小说，作者菲茨杰拉德创作《了不起的盖茨比》的初衷是什么？,描绘爵士时代的社交生活,警示对财富的盲目追求,讲述盖茨比和黛西的爱情故事,分析社会变革的影响
了不起的盖茨比,关于《了不起的盖茨比》这本小说，家族成员,爵士时代,复兴时代,维多利亚时代,古典时代
亮剑,关于《亮剑》这本小说，这部小说通过塑造李云龙的人物形象，想要传达怎样的主题？,反抗压迫，争取自由,真诚与友谊,战争的残酷和无奈,社会变革与革命斗争
亮剑,关于《亮剑》这本小说，这部小说采用了哪种文学风格来叙述故事？,现实主义,历史虚构,魔幻现实主义,古典主义
陆犯焉识,关于《陆犯焉识》这本小说，该故事的文学风格主要体现在哪个方面？,叙述细腻、情感丰富,强调社会现实、政治背景,强调幽默、讽刺,以诗意的语言表达情感
陆犯焉识,关于《陆犯焉识》这本小说，故事中突出的主题是？,重建家庭的团结,社会动荡下的人性困惑,追求个人理想与家庭责任的冲突,人生变故与心灵重建
麦琪的礼物,关于《麦琪的礼物》这本小说，所展现的文学风格是什么？,现实主义,浪漫主义,象征主义,古典主义
麦琪的礼物,关于《麦琪的礼物》这本小说，故事的背景主题是什么？,物质主义与爱的关系,社会阶层与幸福生活,宗教与现代生活,礼物与家庭关系
美丽新世界,关于《美丽新世界》这本小说，《美丽新世界》的作者是谁？,乔治奥威尔,阿道斯・赫胥黎,塞缪尔・巴顿,伊夫・伯尔涅
面纱,关于《面纱》这本小说，对当时的英国社会和中国社会进行了怎样的描绘,两国社会差异造成冲突,强调两国社会的相似性,呈现两国社会的和谐共生,忽略社会背景描绘
孽子,关于《孽子》这本小说，背景设定主要反映了哪个时期的社会现实？,1950年代,1960年代,1970年代,1980年代
平凡的世界（全三部）,关于《平凡的世界（全三部）》这本小说，故事背景主要是发生在哪个地区？,陕西南部,陕西北部,重庆,河南
平凡的世界（全三部）,关于《平凡的世界（全三部）》这本小说，哪位人物是该作品的主人公,孙少安,孙少平,田润叶,田晓霞
平凡的世界（全三部）,关于《平凡的世界（全三部）》这本小说，《平凡的世界》以什么时代为背景？,19世纪,20世纪初,20世纪70年代中期到80年代中期,21世纪
强风吹拂,关于《强风吹拂》这本小说，以什么为背景的小说？,青春校园,科幻,犯罪悬疑,运动竞赛
强风吹拂,关于《强风吹拂》这本小说，故事中以何种运动为背景？,足球,跑步,拳击,游泳
倾城之恋,关于《倾城之恋》这本小说，故事背景中香港一城被轰炸，体现了什么主题？,战争与和平,爱情与背叛,贫富差距,人性复杂性
情书,关于《情书》这本小说，电影《情书》受到哪部黑白作品的启发？,黑与白,明与暗,爱与恨,生与死
情书,关于《情书》这本小说，电影《情书》以哪些地方为背景展开？,东京和大阪,小樽和神户,京都和横滨,札幌和福冈
三体,关于《三体》这本小说，主要背景设定基于哪个科学原理？,相对论,牛顿运动定律,量子力学,热力学
杀死一只知更鸟,关于《杀死一只知更鸟》这本小说，创作背景发生在哪个美国州？,亚拉巴马州,佛罗里达州,乔治亚州,南卡罗来纳州
射雕英雄传,关于《射雕英雄传》这本小说，故事中呈现了哪个历史时期的背景？,南宋时期,北宋时期,明朝时期,清朝时期
神雕侠侣,关于《神雕侠侣》这本小说，蒙古入侵和中原武林的抵抗是主要的背景主题，所以主要背景是什么？,战乱年代,和平年代,帝国崛起,文化繁荣
鼠疫,关于《鼠疫》这本小说，主要反映了哪个背景主题？,社会不公正,人性的扭曲,神秘和超自然,爱情与牺牲
树上的男爵,关于《树上的男爵》这本小说，柯希莫的生活在树上与翁布罗萨森林中表征了怎样的主题？,自由与束缚,贵族与平民,传统与现代,野性与文明
水浒传,关于《水浒传》这本小说，背景的主要社会问题是？,腐败政府和社会不公,宗教信仰和文化冲突,经济发展和科技革新,家庭关系和社会道德
四世同堂,关于《四世同堂》这本小说，时代背景是什么时期？,抗日战争时期,清朝末期,文化大革命时期,民国时期
苏菲的世界,关于《苏菲的世界》这本小说，故事中主要探讨的哲学主题是：,自由意志和命运,宗教信仰和传统价值观,父女关系和亲情,社会政治制度和权力结构
苏菲的世界,关于《苏菲的世界》这本小说，作者通过故事中的故事探讨了哲学的什么?,历史变迁和发展,沟通和亲情,人的自我认知和现实探求,现代社会的复杂性
围城,关于《围城》这本小说，创作受到了哪些时代和社会因素的影响？,二战时期的政治变革,文化大革命的影响,经济萧条时期的反思,19世纪自由主义运动
围城,关于《围城》这本小说，故事发生在哪个时代？,1920年代,1940年代,1960年代,1980年代
西线无战事,关于《西线无战事》这本小说，小说中通过保罗・博伊默尔的视角展现了哪个主题？,友谊和忠诚,战争的荒谬与无情,家乡与思乡,自我牺牲与英雄主义
西线无战事,关于《西线无战事》这本小说，作者通过保罗・博伊默尔的经历传达了哪种主题？,和平的重要性,幻灭与失望,青年的成长与迷惘,英雄主义的崇高
香水,关于《香水》这本小说，通过格勒努耶的故事，探讨了什么社会主题？,人性的扭曲与堕落,爱与牺牲,英雄主义与正义,社会和谐与共融
